年,縣市,新增通訊處數,累計通訊處數,年底人口,土地面積_km2,出生數,死亡數,戶數,納稅單位_戶,綜合所得總額_千元,人口密度_人每km2,平均戶量,粗出生率_千分比,粗死亡率_千分比,自然增加率_千分比,綜合所得平均數_千元,綜合所得中位數_千元,平均每戶消費支出_元,每萬人通訊處數
99,嘉義市,0,19,,,,,,,,,,,,,,,534451,
99,嘉義縣,0,8,,,,,,,,,,,,,,,552876,
99,基隆市,0,10,,,,,,,,,,,,,,,730198,
99,宜蘭縣,0,20,,,,,,,,,,,,,,,652305,
99,屏東縣,0,31,,,,,,,,,,,,,,,553622,
99,彰化縣,1,47,,,,,,,,,,,,,,,578094,
99,新北市,0,85,,,,,,,,,,,,,,,722847,
99,新竹市,1,22,,,,,,,,,,,,,,,940387,
99,新竹縣,0,15,,,,,,,,,,,,,,,867863,
99,桃園市,1,78,,,,,,,,,,,,,,,743251,
99,澎湖縣,1,4,,,,,,,,,,,,,,,513083,
99,臺中市,2,133,,,,,,,,,,,,,,,688348,
99,臺北市,9,231,,,,,,,,,,,,,,,988691,
99,臺南市,2,81,,,,,,,,,,,,,,,588477,
99,臺東縣,0,15,,,,,,,,,,,,,,,396957,
99,花蓮縣,1,13,,,,,,,,,,,,,,,577696,
99,苗栗縣,0,20,,,,,,,,,,,,,,,594962,
99,連江縣,0,0,,,,,,,,,,,,,,,,
99,金門縣,0,3,,,,,,,,,,,,,,,,
99,雲林縣,0,17,,,,,,,,,,,,,,,466544,
99,高雄市,4,125,,,,,,,,,,,,,,,652826,
100,南投縣,0,19,,,,,,,,,,,,,,,629379,
100,嘉義市,0,19,,,,,,,,,,,,,,,616177,
100,嘉義縣,0,8,,,,,,,,,,,,,,,520344,
100,基隆市,0,10,,,,,,,,,,,,,,,718329,
100,宜蘭縣,0,20,,,,,,,,,,,,,,,602332,
100,屏東縣,0,31,,,,,,,,,,,,,,,558868,
100,彰化縣,0,47,,,,,,,,,,,,,,,579670,
100,新北市,2,87,,,,,,,,,,,,,,,745901,
100,新竹市,2,24,,,,,,,,,,,,,,,982122,
100,新竹縣,0,15,,,,,,,,,,,,,,,907729,
100,桃園市,0,78,,,,,,,,,,,,,,,822232,
100,澎湖縣,0,4,,,,,,,,,,,,,,,486598,
100,臺中市,2,135,,,,,,,,,,,,,,,726320,
100,臺北市,7,238,,,,,,,,,,,,,,,996646,
100,臺南市,1,82,,,,,,,,,,,,,,,630810,
100,臺東縣,0,15,,,,,,,,,,,,,,,435401,
100,花蓮縣,3,16,,,,,,,,,,,,,,,554335,
100,苗栗縣,1,21,,,,,,,,,,,,,,,656067,
100,連江縣,0,0,,,,,,,,,,,,,,,,
100,金門縣,0,3,,,,,,,,,,,,,,,,
100,雲林縣,0,17,,,,,,,,,,,,,,,491428,
100,高雄市,0,125,,,,,,,,,,,,,,,686354,
101,南投縣,0,19,,,,,,,,,,,,,,,648629,
101,嘉義市,1,20,,,,,,,,,,,,,,,686120,
101,嘉義縣,0,8,,,,,,,,,,,,,,,572225,
101,基隆市,0,10,,,,,,,,,,,,,,,660931,
101,宜蘭縣,0,20,,,,,,,,,,,,,,,698346,
101,屏東縣,0,31,,,,,,,,,,,,,,,553602,
101,彰化縣,0,47,,,,,,,,,,,,,,,597253,
101,新北市,3,90,,,,,,,,,,,,,,,741651,
101,新竹市,0,24,,,,,,,,,,,,,,,935237,
101,新竹縣,1,16,,,,,,,,,,,,,,,898118,
101,桃園市,1,79,,,,,,,,,,,,,,,815889,
101,澎湖縣,0,4,,,,,,,,,,,,,,,492419,
101,臺中市,2,137,,,,,,,,,,,,,,,717894,
101,臺北市,8,246,,,,,,,,,,,,,,,973747,
101,臺南市,2,84,,,,,,,,,,,,,,,627337,
101,臺東縣,0,15,,,,,,,,,,,,,,,464577,
101,花蓮縣,1,17,,,,,,,,,,,,,,,566694,
101,苗栗縣,0,21,,,,,,,,,,,,,,,629119,
101,連江縣,0,0,,,,,,,,,,,,,,,,
101,金門縣,0,3,,,,,,,,,,,,,,,,
101,雲林縣,0,17,,,,,,,,,,,,,,,487669,
101,高雄市,2,127,,,,,,,,,,,,,,,694285,
102,南投縣,0,19,,,,,,,,,,,,,,,584190,
102,嘉義市,0,20,,,,,,,,,,,,,,,788432,
102,嘉義縣,1,9,,,,,,,,,,,,,,,616718,
102,基隆市,0,10,,,,,,,,,,,,,,,719698,
102,宜蘭縣,3,23,,,,,,,,,,,,,,,668544,
102,屏東縣,2,33,,,,,,,,,,,,,,,545713,
102,彰化縣,2,49,,,,,,,,,,,,,,,577658,
102,新北市,4,94,,,,,,,,,,,,,,,750687,
102,新竹市,1,25,,,,,,,,,,,,,,,1044462,
102,新竹縣,0,16,,,,,,,,,,,,,,,858781,
102,桃園市,2,81,,,,,,,,,,,,,,,832626,
102,澎湖縣,0,4,,,,,,,,,,,,,,,514077,
102,臺中市,1,138,,,,,,,,,,,,,,,781899,
102,臺北市,7,253,,,,,,,,,,,,,,,1001798,
102,臺南市,1,85,,,,,,,,,,,,,,,654843,
102,臺東縣,0,15,,,,,,,,,,,,,,,478531,
102,花蓮縣,1,18,,,,,,,,,,,,,,,554525,
102,苗栗縣,0,21,,,,,,,,,,,,,,,621582,
102,連江縣,0,0,,,,,,,,,,,,,,,,
102,金門縣,0,3,,,,,,,,,,,,,,,,
102,雲林縣,1,18,,,,,,,,,,,,,,,522661,
102,高雄市,0,127,,,,,,,,,,,,,,,709823,
103,南投縣,0,19,,,,,,,,,,,,,,,561412,
103,嘉義市,3,23,,,,,,,,,,,,,,,726313,
103,嘉義縣,0,9,,,,,,,,,,,,,,,567649,
103,基隆市,1,11,,,,,,,,,,,,,,,692416,
103,宜蘭縣,1,24,,,,,,,,,,,,,,,738296,
103,屏東縣,1,34,,,,,,,,,,,,,,,547989,
103,彰化縣,1,50,,,,,,,,,,,,,,,594464,
103,新北市,1,95,,,,,,,,,,,,,,,760951,
103,新竹市,0,25,,,,,,,,,,,,,,,1036179,
103,新竹縣,0,16,,,,,,,,,,,,,,,900922,
103,桃園市,2,83,,,,,,,,,,,,,,,821381,
103,澎湖縣,0,4,,,,,,,,,,,,,,,543641,
103,臺中市,4,142,,,,,,,,,,,,,,,786285,
103,臺北市,10,263,,,,,,,,,,,,,,,1014262,
103,臺南市,1,86,,,,,,,,,,,,,,,674797,
103,臺東縣,0,15,,,,,,,,,,,,,,,494037,
103,花蓮縣,0,18,,,,,,,,,,,,,,,547353,
103,苗栗縣,1,22,,,,,,,,,,,,,,,649705,
103,連江縣,0,0,,,,,,,,,,,,,,,,
103,金門縣,0,3,,,,,,,,,,,,,,,,
103,雲林縣,1,19,,,,,,,,,,,,,,,518443,
103,高雄市,8,135,,,,,,,,,,,,,,,722305,
104,南投縣,0,19,,,,,,,,,,,,,,,572716,
104,嘉義市,3,26,,,,,,,,,,,,,,,707508,
104,嘉義縣,0,9,,,,,,,,,,,,,,,624427,
104,基隆市,0,11,,,,,,,,,,,,,,,729180,
104,宜蘭縣,0,24,,,,,,,,,,,,,,,839843,
104,屏東縣,1,35,,,,,,,,,,,,,,,576911,
104,彰化縣,2,52,,,,,,,,,,,,,,,586102,
104,新北市,3,98,,,,,,,,,,,,,,,765476,
104,新竹市,0,25,,,,,,,,,,,,,,,971537,
104,新竹縣,1,17,,,,,,,,,,,,,,,841800,
104,桃園市,2,85,,,,,,,,,,,,,,,821563,
104,澎湖縣,0,4,,,,,,,,,,,,,,,466630,
104,臺中市,3,145,,,,,,,,,,,,,,,777046,
104,臺北市,9,272,,,,,,,,,,,,,,,1005898,
104,臺南市,1,87,,,,,,,,,,,,,,,675861,
104,臺東縣,1,16,,,,,,,,,,,,,,,433133,
104,花蓮縣,0,18,,,,,,,,,,,,,,,563001,
104,苗栗縣,1,23,,,,,,,,,,,,,,,639582,
104,連江縣,0,0,,,,,,,,,,,,,,,,
104,金門縣,1,4,,,,,,,,,,,,,,,,
104,雲林縣,0,19,,,,,,,,,,,,,,,528364,
104,高雄市,4,139,,,,,,,,,,,,,,,752712,
105,南投縣,0,19,,,,,,,,,,,,,,,625403,
105,嘉義市,2,28,,,,,,,,,,,,,,,745214,
105,嘉義縣,0,9,,,,,,,,,,,,,,,648026,
105,基隆市,0,11,,,,,,,,,,,,,,,762921,
105,宜蘭縣,0,24,,,,,,,,,,,,,,,736769,
105,屏東縣,0,35,,,,,,,,,,,,,,,629467,
105,彰化縣,2,54,,,,,,,,,,,,,,,603518,
105,新北市,0,98,,,,,,,,,,,,,,,771154,
105,新竹市,0,25,,,,,,,,,,,,,,,1049649,
105,新竹縣,1,18,,,,,,,,,,,,,,,883370,
105,桃園市,6,91,,,,,,,,,,,,,,,831228,
105,澎湖縣,0,4,,,,,,,,,,,,,,,601859,
105,臺中市,11,156,,,,,,,,,,,,,,,769046,
105,臺北市,32,304,,,,,,,,,,,,,,,1025150,
105,臺南市,5,92,,,,,,,,,,,,,,,696425,
105,臺東縣,0,16,,,,,,,,,,,,,,,486046,
105,花蓮縣,2,20,,,,,,,,,,,,,,,562636,
105,苗栗縣,0,23,,,,,,,,,,,,,,,700967,
105,連江縣,0,0,,,,,,,,,,,,,,,,
105,金門縣,0,4,,,,,,,,,,,,,,,,
105,雲林縣,2,21,,,,,,,,,,,,,,,518246,
105,高雄市,7,146,,,,,,,,,,,,,,,786097,
106,南投縣,1,20,,,,,,,,,,,,,,,614176,
106,嘉義市,1,29,,,,,,,,,,,,,,,736330,
106,嘉義縣,0,9,,,,,,,,,,,,,,,638422,
106,基隆市,1,12,,,,,,,,,,,,,,,777924,
106,宜蘭縣,1,25,,,,,,,,,,,,,,,755648,
106,屏東縣,0,35,,,,,,,,,,,,,,,648324,
106,彰化縣,0,54,,,,,,,,,,,,,,,621736,
106,新北市,4,102,,,,,,,,,,,,,,,823461,
106,新竹市,0,25,,,,,,,,,,,,,,,953074,
106,新竹縣,2,20,,,,,,,,,,,,,,,1014464,
106,桃園市,1,92,,,,,,,,,,,,,,,879508,
106,澎湖縣,0,4,,,,,,,,,,,,,,,503857,
106,臺中市,9,165,,,,,,,,,,,,,,,849155,
106,臺北市,22,326,,,,,,,,,,,,,,,1080904,
106,臺南市,6,98,,,,,,,,,,,,,,,707495,
106,臺東縣,0,16,,,,,,,,,,,,,,,519259,
106,花蓮縣,1,21,,,,,,,,,,,,,,,586240,
106,苗栗縣,0,23,,,,,,,,,,,,,,,653494,
106,連江縣,0,0,,,,,,,,,,,,,,,,
106,金門縣,0,4,,,,,,,,,,,,,,,,
106,雲林縣,1,22,,,,,,,,,,,,,,,565062,
106,高雄市,3,149,,,,,,,,,,,,,,,795624,
107,南投縣,0,20,,,,,,,,,,,,,,,592938,
107,嘉義市,2,31,,,,,,,,,,,,,,,713443,
107,嘉義縣,0,9,,,,,,,,,,,,,,,629287,
107,基隆市,0,12,,,,,,,,,,,,,,,748209,
107,宜蘭縣,0,25,,,,,,,,,,,,,,,721622,
107,屏東縣,0,35,,,,,,,,,,,,,,,645897,
107,彰化縣,0,54,,,,,,,,,,,,,,,596383,
107,新北市,0,102,,,,,,,,,,,,,,,820520,
107,新竹市,1,26,,,,,,,,,,,,,,,956393,
107,新竹縣,0,20,,,,,,,,,,,,,,,945759,
107,桃園市,2,94,,,,,,,,,,,,,,,901666,
107,澎湖縣,0,4,,,,,,,,,,,,,,,541139,
107,臺中市,6,171,,,,,,,,,,,,,,,865525,
107,臺北市,11,337,,,,,,,,,,,,,,,1082626,
107,臺南市,3,101,,,,,,,,,,,,,,,717367,
107,臺東縣,0,16,,,,,,,,,,,,,,,534302,
107,花蓮縣,0,21,,,,,,,,,,,,,,,613314,
107,苗栗縣,0,23,,,,,,,,,,,,,,,640257,
107,連江縣,0,0,,,,,,,,,,,,,,,,
107,金門縣,0,4,,,,,,,,,,,,,,,,
107,雲林縣,0,22,,,,,,,,,,,,,,,556969,
107,高雄市,5,154,,,,,,,,,,,,,,,793253,
108,南投縣,0,20,,,,,,,,,,,,,,,606254,
108,嘉義市,0,31,,,,,,,,,,,,,,,753030,
108,嘉義縣,0,9,,,,,,,,,,,,,,,586853,
108,基隆市,0,12,,,,,,,,,,,,,,,779555,
108,宜蘭縣,0,25,,,,,,,,,,,,,,,771019,
108,屏東縣,1,36,,,,,,,,,,,,,,,632721,
108,彰化縣,0,54,,,,,,,,,,,,,,,628479,
108,新北市,2,104,,,,,,,,,,,,,,,810975,
108,新竹市,1,27,,,,,,,,,,,,,,,1018975,
108,新竹縣,0,20,,,,,,,,,,,,,,,1006874,
108,桃園市,2,96,,,,,,,,,,,,,,,853095,
108,澎湖縣,0,4,,,,,,,,,,,,,,,589135,
108,臺中市,1,172,,,,,,,,,,,,,,,894519,
108,臺北市,9,346,,,,,,,,,,,,,,,1152501,
108,臺南市,5,106,,,,,,,,,,,,,,,714445,
108,臺東縣,0,16,,,,,,,,,,,,,,,525790,
108,花蓮縣,0,21,,,,,,,,,,,,,,,603636,
108,苗栗縣,0,23,,,,,,,,,,,,,,,639221,
108,連江縣,0,0,,,,,,,,,,,,,,,,
108,金門縣,0,4,,,,,,,,,,,,,,,,
108,雲林縣,1,23,,,,,,,,,,,,,,,602116,
108,高雄市,5,159,,,,,,,,,,,,,,,842428,
109,南投縣,0,20,490832,4106.436,3142,4737,179592,105001,59419114,119.5,2.733,6.4,9.65,-3.25,565.9,,631895,0.41
109,嘉義市,1,32,266005,60.0256,1426,2098,101155,68158,47821237,4431.5,2.63,5.36,7.89,-2.53,701.6,,745830,1.2
109,嘉義縣,1,10,499481,1903.6367,2922,5426,184641,97700,56641966,262.4,2.705,5.85,10.86,-5.01,579.8,,597640,0.2
109,基隆市,0,12,367577,132.7589,2007,3015,155464,108555,65722471,2768.8,2.364,5.46,8.2,-2.74,605.4,,716855,0.33
109,宜蘭縣,1,26,453087,2143.6251,2854,3886,172570,113550,67401111,211.4,2.626,6.3,8.58,-2.28,593.6,,754386,0.57
